         456251 function calls (445422 primitive calls) in 31.224 seconds

   Ordered by: cumulative time
   List reduced from 4136 to 40 due to restriction <'/Users/gabewblee/Desktop/Projects/ChronoStock/backend/app'>
   List reduced from 40 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   26.069   26.069 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/main.py:357(get_market_analysis)
        1    0.000    0.000   25.979   25.979 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/analysis.py:44(generate_market_analysis)
        1    0.000    0.000    4.854    4.854 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/main.py:295(get_market_summary)
        1    0.000    0.000    4.851    4.851 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/macro.py:142(fetch_market_summary)
       12    0.000    0.000    3.650    0.304 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/macro.py:23(_fred_obs)
        7    0.000    0.000    1.880    0.269 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/macro.py:39(_fred_level)
        4    0.000    0.000    1.462    0.366 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/macro.py:87(_fred_yoy)
        1    0.000    0.000    1.392    1.392 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/main.py:100(get_stock)
        8    0.001    0.000    1.200    0.150 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/macro.py:115(_yf_level)
        1    0.000    0.000    0.308    0.308 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/macro.py:63(_fred_monthly_change)
        1    0.000    0.000    0.220    0.220 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/main.py:396(search)
        1    0.000    0.000    0.220    0.220 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/stock.py:200(search_tickers)
        1    0.000    0.000    0.085    0.085 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/analysis.py:1(<module>)
       10    0.000    0.000    0.017    0.002 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/cache.py:112(get)
       10    0.000    0.000    0.017    0.002 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/cache.py:29(_local_get)
        2    0.000    0.000    0.006    0.003 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/cache.py:121(set)
        2    0.000    0.000    0.006    0.003 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/cache.py:37(_local_set)
        1    0.000    0.000    0.002    0.002 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/main.py:588(add_to_watchlist)
        4    0.000    0.000    0.002    0.000 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/database.py:17(get_conn)
        1    0.000    0.000    0.002    0.002 /Users/gabewblee/Desktop/Projects/ChronoStock/backend/app/main.py:268(get_sec_filings)


