event_date,start_idx,end_idx,car,abs_car,id,tickers,title,published_utc,author,description,keywords,insights,url,ticker
2021-11-04,5722,5728,0.1076528841446644,0.1076528841446644,87GKTrbbUdGThMlcqzj0s5D0u_c1le8fZXm9A3_A0mY,NVDA|BRK.B|V|JPM|WMT|INTC|AVGO|TSM|FB|ANET,Nvidia eclipses Warren Buffett's Berkshire Hathaway as 7th largest U.S. company,2021-11-02 21:15:00,MarketWatch,Nvidia Corp. is on pace to become the seventh largest U.S. company by market capitalization as it is on pace to move ahead of Berkshire Hathaway Inc.,,[],https://www.marketwatch.com/story/nvidia-on-track-to-eclipse-warren-buffetts-berkshire-hathaway-as-7th-largest-u-s-company-11635869984,NVDA
2022-01-03,5762,5768,-0.05213344291234,0.05213344291234,ckDHaclMFG5owto1CtXzxwIN1A9jTJe343Q2U9ap9PM,NVDA,"NVIDIA Expands Reach With New GeForce Laptops and Desktops, GeForce NOW Partners, and Omniverse for Creators",2022-01-04 16:38:00,NVIDIA CORPORATION,"160+ Gaming and Studio Laptop Designs, GeForce RTX 3080 Ti for Laptops and RTX 3050 for Desktops; More Electronic Arts Games, Samsung TVs and AT&T Join GeForce NOW; Omniverse Extended to Millions of Creators",Product / Services Announcement,[],https://www.globenewswire.com/news-release/2022/01/04/2361035/0/en/NVIDIA-Expands-Reach-With-New-GeForce-Laptops-and-Desktops-GeForce-NOW-Partners-and-Omniverse-for-Creators.html,NVDA
2022-02-01,5782,5788,0.0268340846704118,0.0268340846704118,CK-dQFwzdC1qKi6fJRKAcOT3foeJ1Rq21tIZdF__XG0,NVDA,Here's How Nvidia Will Power Automotive Giants,2022-01-30 11:30:00,newsfeedback@fool.com (Jose Najarro),"Nvidia is supplying the latest chips and servers, and even a full production-ready platform.",investing,[],https://www.fool.com/investing/2022/01/30/heres-how-nvidia-will-power-automotive-giants/,NVDA
2022-04-06,5827,5833,-0.1848268075405963,0.1848268075405963,21iC7QJ6da3YwK7AfqJg1KGV2HloFjIrMIliZ1H3nL8,INTC|NVDA|AMD,"Intel Exits Russia Over Ukraine Invasion; 1,200 Employees Impacted",2022-04-06 08:55:48,Navdeep Yadav,"On Tuesday, American chipmaker Intel Corporation (NASDAQ: INTC) announced that it had suspended business operations in Russia, joining a slew of companies that decided to exit the country amid the invasion of Ukraine by the Russian Army.
This came after it suspended shipments to customers in Russia as part of U.S. sanctions earlier this year alongside rivals Advanced Micro Devices, Inc. (NASDAQ: AMD) and Nvidia Corp. (NASDAQ: NVDA).
""Intel continues to join the ...",News|Global|Tech,[],https://www.benzinga.com/news/22/04/26492315/intel-exits-russia-over-ukraine-invasion-1-200-employees-impacted,NVDA
2022-11-09,5977,5983,0.1035909842725608,0.1035909842725608,Rv4BR7t_bLWh6AZwwOe5iC0C18UTKpKHWA6ewchyoWE,NVDA|BABA|BIDU,Nvidia offers new chip alternative following U.S. restrictions against exports to China,2022-11-08 11:55:00,MarketWatch,"Nvidia said the new graphics-processing chip, branded the A800, meets U.S. restrictions on chips that can be exported to China under new rules rolled out last month. The chip went into production in the third quarter, the company said.",,[],https://www.marketwatch.com/story/nvidia-offers-new-chip-alternative-following-u-s-restrictions-against-exports-to-china-11667904058,NVDA
2023-02-22,6047,6053,0.0428563764448254,0.0428563764448254,QqD2u8Id1B24h7OekAMBCGNxWDtvzUZRPQKxzK-KOyI,MSFT|NVDA|AAPL|GOOG|GOOGL|ATVI|DJIA,Microsoft teams up with Nvidia and Nintendo in 10-year deal to stream Xbox games ,2023-02-21 19:18:00,MarketWatch,Microsoft signed a 10-year deal to bring Xbox and other properties to Nvidia's cloud gamers and to Nintendo gamers in a bid to satisfy antitrust regulators.,,[],https://www.marketwatch.com/story/microsoft-teams-up-with-nvidia-and-nintendo-in-10-year-deal-to-stream-xbox-games-c0e9a141,NVDA
2023-06-02,6112,6128,-0.057820018164612,0.057820018164612,czgqXJ_th0-eYvQdSizKmaKbQ49OlkS9ZsLC27lHInQ,NVDA|AMD,Unpacking Nvidia's Dominance and New Milestones in AI and Computing Platforms: Analysts,2023-05-31 18:49:30,Anusuya Lahiri,"Citi analyst Atif Malik maintained a Buy rating on Nvidia Corp (NASDAQ: NVDA) with a price target of $420 in a Wednesday note titled ""NVIDIA Corp (NVDA.O) - Computex 2023: More Untapped TAM in Sight; Stay Long.""
On Monday, CEO Jensen Huang reiterated the company's goal to bring Generative AI to data centers during Computex in Taipei. 
While the company highlighted various products, the analyst deemed the announcements of 1) the firm's GH200 Grace-Hopper Superchip being in total production, 2) the new open accelerated computing server architecture: MGX Server, and 3) Nvidia's new Gen AI-focused end-to-end optimized Ethernet platform: Spectrum-X stole the show. 
He estimates ...Full story available on Benzinga.com",News|Price Target|Reiteration|Analyst Ratings|Tech|Trading Ideas,[],https://www.benzinga.com/news/23/05/32652089/unpacking-nvidias-dominance-and-new-milestones-in-ai-and-computing-platforms-analysts,NVDA
2023-09-06,6182,6188,-0.0853006012489118,0.0853006012489118,zq0jAYlPkSTUg2M-hh7Vz2qeP6ReJQXrcl11DhnC0e0,NVDA|ABM|AAPL|SAIC|RH,Investor Optimism Falls As Dow Tumbles Around 200 Points,2023-09-07 06:21:22,Lisa Levin,"The CNN Money Fear and Greed index showed a decline in overall sentiment among U.S. investors on Wednesday.
U.S. stocks settled lower on Wednesday, with the Nasdaq recording losses for the third consecutive session.  NVIDIA Corporation (NASDAQ: NVDA) and  Apple Inc. (NASDAQ: AAPL) shares lost more than 3% during the session.
On the economic data front, the ISM services PMI rose to 54.5 in August, signalling the strongest growth in the services activity in six months, up from July’s reading of 52.7. The U.S. trade deficit widened to $65 billion in July versus a revised $63.7 billion in the prior month, and compared ...",News|Earnings|Pre-Market Outlook|Markets|Trading Ideas,[],https://www.benzinga.com/news/earnings/23/09/34303232/investor-optimism-falls-as-dow-tumbles-around-200-points,NVDA
2024-02-21,6297,6303,0.0441369476434827,0.0441369476434827,J2abyKBF33FGiG9wNB5br7wseOgzCgQHPwOhH3fqHa8,BELFA|NVDA|VERO|GBNH|DPRO|BZFD|LRHC,Nasdaq Surges 300 Points; NVIDIA Posts Strong Results,2024-02-22 14:47:04,Avi Kapoor,"U.S. stocks traded higher this morning, with the Nasdaq Composite jumping around 300 points on Thursday.
Following the market opening Thursday, the Dow traded up 0.63% to 38,857.02 while the NASDAQ rose 1.95% to 15,884.67. The S&P 500 also rose, gaining, 1.20% to 5,041.45.
Check This Out:  Analog Devices To Rally Around 19%? Here Are 10 Top Analyst Forecasts For Thursday 
 
Leading and Lagging Sectors
 
Information technology shares rose by 3.1% on Thursday.
In trading on Thursday, utilities shares fell by 0.8%.
 
Top Headline
 
NVIDIA Corporation (NASDAQ: NVDA) reported better-than-expected fourth-quarter financial results and issued strong revenue guidance for the first quarter.
The company reported revenue of $22.10 billion, beating a Street estimate of $20.62 billion. Revenue in the fourth quarter was up 265% year-over-year. Nvidia reported fourth-quarter non-GAAP earnings per share of $5.16, which came in ahead of a Street consensus estimate of $4.64 according to data from Benzinga Pro.
 
Equities Trading UP
 
La Rosa Holdings Corp.  (NASDAQ: LRHC) shares shot up 186% to $4.00 after the company said it has acquired a 100% interest in the Company's franchisee - La Rosa Realty Winter Garden LLC located in Winter Garden, Florida.
Shares of  BuzzFeed, Inc.  (NASDAQ: BZFD) got a boost, surging 78% to ...",News|Earnings|Penny Stocks|Eurozone|Commodities|Small Cap|Global|Intraday Update|Markets|Trading Ideas,[],https://www.benzinga.com/news/earnings/24/02/37262466/nasdaq-surges-300-points-nvidia-posts-strong-results,NVDA
2024-03-08,6307,6318,0.043419454866857,0.043419454866857,3ozBMkyp7hFj9EhmKVrpJX_OsLlFMP6FEGvbmxe8c6s,NVDA,NVIDIA and HP Supercharge Data Science and Generative AI on Workstations,2024-03-07 16:55:00,NVIDIA,"Coming to Z by HP AI Studio, NVIDIA CUDA-X Data Processing Libraries Boost Python Pandas Software for Millions of Data Scientists Coming to Z by HP AI Studio, NVIDIA CUDA-X Data Processing Libraries Boost Python Pandas Software for Millions of Data Scientists",Product / Services Announcement,[],https://www.globenewswire.com/news-release/2024/03/07/2842523/0/en/NVIDIA-and-HP-Supercharge-Data-Science-and-Generative-AI-on-Workstations.html,NVDA
